difficulty,method,mean_delay,detection_rate,mean_false_alarm_rate
easy,v1 naive,15.333333333333334,0.8571428571428571,0.0
easy,adaptive CUSUM,11.0,0.7857142857142857,0.004166666666666667
easy,DAS-CUSUM,53.0,0.5714285714285714,0.0037698412698412695
easy,fixed-reference,20.0,1.0,0.0035714285714285718
medium,v1 naive,14.5,0.14285714285714285,0.0015889689209016942
medium,adaptive CUSUM,41.15384615384615,0.9285714285714286,0.0007980939638642102
medium,DAS-CUSUM,83.54545454545455,0.7857142857142857,0.0
medium,fixed-reference,22.857142857142858,1.0,0.007518796992481203
hard,v1 naive,126.0,0.2857142857142857,0.0
hard,adaptive CUSUM,71.2,0.7142857142857143,0.005753968253968254
hard,DAS-CUSUM,88.75,0.5714285714285714,0.005357142857142858
hard,fixed-reference,90.0,0.14285714285714285,0.0035714285714285718
